gnl|ECaadb|1|NP_414542.1	21
gnl|ECaadb|2|NP_414543.1	820
gnl|ECaadb|3|NP_414544.1	310
gnl|ECaadb|4|NP_414545.1	428
gnl|ECaadb|5|NP_414546.1	98
gnl|ECaadb|6|NP_414547.1	258
gnl|ECaadb|7|NP_414548.1	476
gnl|ECaadb|8|NP_414549.1	317
gnl|ECaadb|9|NP_414550.1	195
gnl|ECaadb|10|NP_414551.1	188
gnl|ECaadb|11|NP_414552.1	237
gnl|ECaadb|12|NP_414554.1	134
gnl|ECaadb|13|NP_414555.1	638
gnl|ECaadb|14|NP_414556.1	376
gnl|ECaadb|15|NP_414557.1	370
gnl|ECaadb|16|NP_414559.1	69
gnl|ECaadb|17|NP_414560.1	388
gnl|ECaadb|18|NP_414561.1	301
gnl|ECaadb|19|NP_414562.1	167
gnl|ECaadb|20|NP_414563.1	91
gnl|ECaadb|21|NP_414564.1	87
gnl|ECaadb|22|NP_414565.1	72
gnl|ECaadb|23|NP_414566.1	313
gnl|ECaadb|24|NP_414567.1	938
gnl|ECaadb|25|NP_414568.1	164
gnl|ECaadb|26|NP_414569.1	149
gnl|ECaadb|27|NP_414570.1	316
gnl|ECaadb|28|NP_414571.1	304
gnl|ECaadb|29|NP_414572.1	273
gnl|ECaadb|30|NP_414573.1	382
gnl|ECaadb|31|NP_414574.1	1073
gnl|ECaadb|32|NP_414576.4	131
gnl|ECaadb|33|NP_414577.2	196
gnl|ECaadb|34|NP_414578.2	261
gnl|ECaadb|35|NP_414579.4	517
gnl|ECaadb|36|NP_414580.1	405
gnl|ECaadb|37|NP_414581.1	380
gnl|ECaadb|38|NP_414582.1	504
gnl|ECaadb|39|NP_414583.2	256
gnl|ECaadb|40|NP_414584.1	313
gnl|ECaadb|41|NP_414585.1	428
gnl|ECaadb|42|NP_414586.1	95
gnl|ECaadb|43|NP_414587.1	443
gnl|ECaadb|44|NP_414588.1	176
gnl|ECaadb|45|NP_414589.1	620
gnl|ECaadb|46|NP_414590.1	159
gnl|ECaadb|47|NP_414591.1	280
gnl|ECaadb|48|NP_414592.1	125
gnl|ECaadb|49|NP_414593.1	273
gnl|ECaadb|50|NP_414594.1	329
gnl|ECaadb|51|NP_414595.1	428
gnl|ECaadb|52|NP_414596.1	784
gnl|ECaadb|53|NP_414597.1	271
gnl|ECaadb|54|NP_414600.1	219
gnl|ECaadb|55|NP_414601.1	968
gnl|ECaadb|56|NP_414602.1	783
gnl|ECaadb|57|NP_414603.1	231
gnl|ECaadb|58|NP_414604.1	500
gnl|ECaadb|59|NP_414605.1	566
gnl|ECaadb|60|NP_414606.1	292
gnl|ECaadb|61|NP_414607.1	254
gnl|ECaadb|62|NP_414608.1	232
gnl|ECaadb|63|NP_414609.1	536
gnl|ECaadb|64|NP_414610.1	327
gnl|ECaadb|65|NP_414611.1	551
gnl|ECaadb|66|NP_414613.1	201
gnl|ECaadb|67|NP_414614.1	466
gnl|ECaadb|68|NP_414615.4	363
gnl|ECaadb|69|NP_414616.1	523
gnl|ECaadb|70|NP_414617.1	28
gnl|ECaadb|71|NP_414618.4	314
gnl|ECaadb|72|NP_414620.1	163
gnl|ECaadb|73|NP_414622.1	334
gnl|ECaadb|74|NP_414623.1	152
gnl|ECaadb|75|NP_414624.1	313
gnl|ECaadb|76|NP_414625.1	121
gnl|ECaadb|77|NP_414626.1	588
gnl|ECaadb|78|NP_414627.1	495
gnl|ECaadb|79|NP_414628.1	452
gnl|ECaadb|80|NP_414629.1	360
gnl|ECaadb|81|NP_414630.1	438
gnl|ECaadb|82|NP_414631.1	414
gnl|ECaadb|83|NP_414632.1	355
gnl|ECaadb|84|NP_414633.1	491
gnl|ECaadb|85|NP_414634.1	306
gnl|ECaadb|86|NP_414635.1	276
gnl|ECaadb|87|NP_414636.1	420
gnl|ECaadb|88|NP_414637.1	383
gnl|ECaadb|89|NP_414638.1	305
gnl|ECaadb|90|NP_414639.2	170
gnl|ECaadb|91|NP_414640.1	901
gnl|ECaadb|92|NP_414641.1	129
gnl|ECaadb|93|NP_414643.1	65
gnl|ECaadb|94|NP_414644.1	247
gnl|ECaadb|95|NP_414645.1	206
gnl|ECaadb|96|NP_414646.1	347
gnl|ECaadb|97|NP_414648.1	400
gnl|ECaadb|98|NP_414649.1	461
gnl|ECaadb|99|NP_414650.1	146
gnl|ECaadb|100|NP_414651.1	297
gnl|ECaadb|101|NP_414652.1	183
gnl|ECaadb|102|NP_414653.1	284
gnl|ECaadb|103|NP_414654.1	457
gnl|ECaadb|104|NP_414655.1	254
gnl|ECaadb|105|NP_414656.1	887
gnl|ECaadb|106|NP_414657.1	630
gnl|ECaadb|107|NP_414658.1	474
gnl|ECaadb|108|NP_414659.1	617
gnl|ECaadb|109|NP_414660.1	865
gnl|ECaadb|110|NP_414661.2	120
gnl|ECaadb|111|NP_414662.1	264
gnl|ECaadb|112|NP_414663.1	288
gnl|ECaadb|113|NP_414664.4	115
gnl|ECaadb|114|NP_414665.1	516
gnl|ECaadb|115|NP_414666.1	796
gnl|ECaadb|116|NP_414667.4	178
gnl|ECaadb|117|NP_414668.1	220
gnl|ECaadb|118|NP_414669.1	308
gnl|ECaadb|119|NP_414670.1	256
gnl|ECaadb|120|NP_414671.1	146
gnl|ECaadb|121|NP_414672.1	409
