gnl|ECaadb|2|NP_414543.1	gnl|RZaadb|190	29.96	474	250	16	3	456	5	416	2e-37	 143
gnl|ECaadb|2|NP_414543.1	gnl|RZaadb|4241	29.32	249	144	7	568	811	117	338	5e-19	87.0
gnl|ECaadb|4|NP_414545.1	gnl|RZaadb|3030	33.88	425	244	9	13	402	16	438	9e-67	 218
gnl|ECaadb|8|NP_414549.1	gnl|RZaadb|103	59.74	313	125	1	1	313	1	312	4e-129	 368
gnl|ECaadb|9|NP_414550.1	gnl|RZaadb|3088	30.19	106	73	1	46	150	51	156	3e-11	57.4
gnl|ECaadb|9|NP_414550.1	gnl|RZaadb|1699	34.57	81	49	2	7	87	10	86	4e-05	40.4
gnl|ECaadb|13|NP_414555.1	gnl|RZaadb|228	68.33	600	183	3	1	598	1	595	0.0	 811
gnl|ECaadb|13|NP_414555.1	gnl|RZaadb|2858	21.80	422	246	13	1	360	1	400	6e-10	58.9
gnl|ECaadb|14|NP_414556.1	gnl|RZaadb|229	52.65	378	169	3	1	372	1	374	8e-102	 303
gnl|ECaadb|14|NP_414556.1	gnl|RZaadb|1614	41.18	119	69	1	212	330	159	276	2e-18	82.4
gnl|ECaadb|14|NP_414556.1	gnl|RZaadb|1614	53.85	65	30	0	4	68	3	67	1e-11	62.0
gnl|ECaadb|18|NP_414561.1	gnl|RZaadb|5713	27.89	147	105	1	4	149	4	150	6e-13	65.5
gnl|ECaadb|18|NP_414561.1	gnl|RZaadb|5839	23.94	188	138	3	6	191	12	196	2e-09	54.7
gnl|ECaadb|21|NP_414564.1	gnl|RZaadb|672	40.23	87	52	0	1	87	1	87	6e-14	58.9
gnl|ECaadb|23|NP_414566.1	gnl|RZaadb|5508	37.58	298	184	2	17	312	19	316	2e-54	 177
gnl|ECaadb|24|NP_414567.1	gnl|RZaadb|5507	41.28	981	483	24	3	923	9	956	0.0	 674
gnl|ECaadb|24|NP_414567.1	gnl|RZaadb|1734	25.69	864	521	25	20	820	7	812	1e-63	 229
gnl|ECaadb|25|NP_414568.1	gnl|RZaadb|3336	40.28	144	82	2	21	163	27	167	6e-28	99.8
gnl|ECaadb|27|NP_414570.1	gnl|RZaadb|3036	47.60	313	158	3	1	309	9	319	1e-90	 271
gnl|ECaadb|28|NP_414571.1	gnl|RZaadb|2087	39.93	278	157	7	5	273	4	280	3e-44	 150
gnl|ECaadb|28|NP_414571.1	gnl|RZaadb|3350	37.25	306	183	6	5	301	7	312	3e-40	 140
gnl|ECaadb|29|NP_414572.1	gnl|RZaadb|3463	44.09	279	143	3	1	272	1	273	2e-66	 206
gnl|ECaadb|29|NP_414572.1	gnl|RZaadb|5357	39.55	268	144	4	6	271	5	256	2e-45	 150
gnl|ECaadb|30|NP_414573.1	gnl|RZaadb|1401	51.04	384	176	5	4	378	13	393	2e-129	 375
gnl|ECaadb|30|NP_414573.1	gnl|RZaadb|2398	32.45	151	93	3	213	356	552	700	3e-16	77.4
gnl|ECaadb|31|NP_414574.1	gnl|RZaadb|2352	59.98	1137	359	12	1	1044	1	1134	0.0	1303
gnl|ECaadb|31|NP_414574.1	gnl|RZaadb|159	27.31	249	142	7	649	875	90	321	3e-15	77.0
gnl|ECaadb|31|NP_414574.1	gnl|RZaadb|159	24.90	245	161	8	107	339	94	327	9e-06	46.6
gnl|ECaadb|33|NP_414577.2	gnl|RZaadb|2215	36.02	161	101	1	1	159	1	161	1e-25	95.1
gnl|ECaadb|33|NP_414577.2	gnl|RZaadb|4069	27.48	131	81	4	17	143	75	195	1e-05	42.7
gnl|ECaadb|34|NP_414578.2	gnl|RZaadb|5771	51.15	260	126	1	1	260	1	259	8e-72	 218
gnl|ECaadb|34|NP_414578.2	gnl|RZaadb|3356	36.12	263	155	5	3	261	4	257	2e-36	 127
gnl|ECaadb|35|NP_414579.4	gnl|RZaadb|3288	27.80	518	321	12	39	517	62	565	6e-50	 177
gnl|ECaadb|35|NP_414579.4	gnl|RZaadb|3600	29.30	488	319	12	39	517	45	515	6e-47	 168
gnl|ECaadb|36|NP_414580.1	gnl|RZaadb|2311	31.43	280	174	4	6	270	5	281	3e-30	 117
gnl|ECaadb|37|NP_414581.1	gnl|RZaadb|4947	31.61	386	251	7	1	377	1	382	2e-52	 176
gnl|ECaadb|37|NP_414581.1	gnl|RZaadb|4786	30.17	348	238	4	30	373	27	373	3e-50	 170
gnl|ECaadb|39|NP_414583.2	gnl|RZaadb|552	30.00	220	144	5	1	213	1	217	1e-15	72.0
gnl|ECaadb|39|NP_414583.2	gnl|RZaadb|6045	28.63	234	157	6	1	231	1	227	1e-08	51.6
gnl|ECaadb|40|NP_414584.1	gnl|RZaadb|729	45.53	123	66	1	186	308	231	352	7e-32	 119
gnl|ECaadb|40|NP_414584.1	gnl|RZaadb|6044	34.18	196	115	4	122	311	122	309	3e-24	97.8
gnl|ECaadb|41|NP_414585.1	gnl|RZaadb|728	38.61	404	237	7	1	396	1	401	4e-82	 256
gnl|ECaadb|41|NP_414585.1	gnl|RZaadb|2854	24.83	302	191	9	31	306	42	333	2e-15	75.5
gnl|ECaadb|42|NP_414586.1	gnl|RZaadb|551	42.11	95	54	1	2	95	5	99	1e-20	76.6
gnl|ECaadb|43|NP_414587.1	gnl|RZaadb|2442	24.46	417	302	4	28	433	46	460	1e-25	 106
gnl|ECaadb|43|NP_414587.1	gnl|RZaadb|4295	24.86	173	101	5	69	219	78	243	4e-07	49.7
gnl|ECaadb|44|NP_414588.1	gnl|RZaadb|3410	29.32	133	69	5	2	109	3	135	3e-08	48.5
gnl|ECaadb|45|NP_414589.1	gnl|RZaadb|3102	39.41	543	324	4	8	549	10	548	2e-93	 297
gnl|ECaadb|45|NP_414589.1	gnl|RZaadb|3208	27.15	534	345	6	22	512	24	556	4e-26	 110
gnl|ECaadb|46|NP_414590.1	gnl|RZaadb|6097	36.50	137	73	4	3	125	15	151	1e-21	84.7
gnl|ECaadb|47|NP_414591.1	gnl|RZaadb|2493	25.75	167	89	5	2	135	37	201	9e-07	46.2
gnl|ECaadb|47|NP_414591.1	gnl|RZaadb|4505	25.09	267	134	10	2	256	20	232	3e-06	44.7
gnl|ECaadb|48|NP_414592.1	gnl|RZaadb|474	45.30	117	64	0	9	125	11	127	1e-26	94.0
gnl|ECaadb|49|NP_414593.1	gnl|RZaadb|2790	35.85	265	159	6	6	264	16	275	4e-43	 145
gnl|ECaadb|50|NP_414594.1	gnl|RZaadb|1197	38.91	329	193	4	4	324	6	334	6e-68	 214
gnl|ECaadb|50|NP_414594.1	gnl|RZaadb|3891	34.04	329	203	7	1	324	1	320	4e-49	 164
gnl|ECaadb|51|NP_414595.1	gnl|RZaadb|188	34.72	144	77	7	284	425	136	264	1e-12	65.5
gnl|ECaadb|51|NP_414595.1	gnl|RZaadb|188	26.09	276	143	11	5	274	6	226	9e-11	59.7
