tf-gene	AcrR	puuA	S
tf-gene	ArcA	acpP	S
tf-gene	ArcA	aldA	S
tf-gene	ArcA	arcA	S
tf-gene	ArcA	argR	S
tf-gene	ArcA	argT	C
tf-gene	ArcA	carA	S
tf-gene	ArcA	cycA	S
tf-gene	ArcA	cydA	S
tf-gene	ArcA	cyoA	C
tf-gene	ArcA	cyoA	S
tf-gene	ArcA	dcuA	S
tf-gene	ArcA	dcuB	S
tf-gene	ArcA	dppA	S
tf-gene	ArcA	fadE	S
tf-gene	ArcA	feoA	S
tf-gene	ArcA	focA	S
tf-gene	ArcA	folE	S
tf-gene	ArcA	fumA	S
tf-gene	ArcA	gcvB	S
tf-gene	ArcA	glaH	S
tf-gene	ArcA	glcC	C
tf-gene	ArcA	glpD	S
tf-gene	ArcA	glpE	S
tf-gene	ArcA	igaA	S
tf-gene	ArcA	kdpA	S
tf-gene	ArcA	manA	S
tf-gene	ArcA	mdh	S
tf-gene	ArcA	micF	C
tf-gene	ArcA	micF	S
tf-gene	ArcA	msrB	S
tf-gene	ArcA	nudE	S
tf-gene	ArcA	nupC	S
tf-gene	ArcA	oppA	S
tf-gene	ArcA	osmY	S
tf-gene	ArcA	pepN	S
tf-gene	ArcA	phoH	S
tf-gene	ArcA	pldA	S
tf-gene	ArcA	pncB	S
tf-gene	ArcA	pntA	S
tf-gene	ArcA	potF	S
tf-gene	ArcA	pqqU	S
tf-gene	ArcA	putA	S
tf-gene	ArcA	putP	S
tf-gene	ArcA	puuA	S
tf-gene	ArcA	puuD	S
tf-gene	ArcA	pyrS	S
tf-gene	ArcA	rho	S
tf-gene	ArcA	rstA	S
tf-gene	ArcA	sstT	S
tf-gene	ArcA	sthA	S
tf-gene	ArcA	thiC	S
tf-gene	ArcA	thrA	S
tf-gene	ArcA	tpx	S
tf-gene	ArcA	xthA	S
tf-gene	ArcA	ybfA	S
tf-gene	ArcA	ybiU	S
tf-gene	ArcA	ydgC	S
tf-gene	ArcA	yeiQ	S
tf-gene	ArcA	yejG	C
